transaction_id,transaction_type,transaction_status,transaction_timestamp,amount_value,amount_currency,sender_customer_id,sender_account_id,sender_account_type,sender_kyc_status,sender_account_age_days,device_type,device_os,app_version,ip_risk,sender_state,sender_city,receiver_type,receiver_bank,merchant_category,merchant_risk_level,payment_method,authorization_type,sender_txn_count_1min,sender_txn_count_10min,sender_amount_24hr,is_fraud,risk_score,fraud_reason_unusual_amount,fraud_reason_geo_distance_anomaly,fraud_reason_high_velocity,fraud_severity
TXN_80B4A9E80,TRANSFER,SUCCESS,2023-11-06T06:06:42.148Z,458.91,INR,CUST_IND_789012,ACC_IND_543210987,SAVINGS,MIN_KYC,180,MOBILE,iOS,1.2.1,LOW,Tamil Nadu,Chennai,PERSON,State Bank of India,,,UPI,PIN,0,0,4901.81,False,0.12,False,False,False,LOW
c161d98a-115f-464a-a9a7-86536b567d71,PAYMENT,SUCCESS,2024-07-28T09:12:44Z,725.75,INR,CUST1380993,ACC971701382,SAVINGS,FULL_KYC,2189,MOBILE,Android,2.6.4,LOW,Karnataka,Nagpur,PERSON,State Bank of India,HEALTH,LOW,UPI,PIN,1,1,927.42,False,0.0573,False,False,False,LOW
060a4f5f-f343-4b61-9c86-1d13f993d05e,TRANSFER,SUCCESS,2024-07-28T04:22:15Z,6878.5,INR,CUST3109355,ACC968744963,SAVINGS,FULL_KYC,1395,MOBILE,Android,3.3.0,LOW,Tamil Nadu,Jaipur,PERSON,Union Bank of India,FOOD,LOW,UPI,PIN,0,1,9811.53,False,0.2319,False,False,False,LOW
50d876a3-2c12-4217-ac3e-90928230f837,PAYMENT,SUCCESS,2024-07-27T14:48:47Z,52628.79,INR,CUST4469651,ACC969472305,SAVINGS,FULL_KYC,1137,MOBILE,iOS,2.8.3,HIGH,Karnataka,Ghaziabad,MERCHANT,ICICI Bank,TRAVEL,HIGH,UPI,OTP,7,8,147360.78,True,0.9856,False,True,True,HIGH
4b68e77a-2411-4777-a8b2-54a7c134045f,TRANSFER,SUCCESS,2024-07-28T00:54:19Z,31393.38,INR,CUST3053801,ACC113695277,SAVINGS,FULL_KYC,1827,MOBILE,iOS,3.3.6,LOW,Madhya Pradesh,Ahmedabad,PERSON,Punjab National Bank,ELECTRONICS,LOW,UPI,PIN,0,1,43537.11,False,0.2223,False,False,False,LOW
60a1e389-c454-4710-859a-5636ef7b819f,PAYMENT,SUCCESS,2024-07-27T19:50:43Z,11090.87,INR,CUST5147514,ACC834710604,CURRENT,FULL_KYC,2176,MOBILE,Android,2.9.1,LOW,Telangana,Lucknow,MERCHANT,Bank of Baroda,HEALTH,LOW,CARD,PIN,0,1,16568.04,False,0.0469,False,False,False,LOW
c6a28249-1d37-4c4d-961d-7213cd108602,PAYMENT,SUCCESS,2024-07-28T07:11:51Z,24208.57,INR,CUST4178557,ACC142563345,CURRENT,FULL_KYC,2736,WEB,Windows,1.8.8,LOW,Maharashtra,New Delhi,MERCHANT,IndusInd Bank,ELECTRONICS,LOW,NETBANKING,OTP,1,1,26645.69,False,0.2291,False,False,False,LOW
01726a76-92f7-4632-8418-8a0a9116e100,TRANSFER,SUCCESS,2024-07-27T17:15:33Z,319.46,INR,CUST1553530,ACC953833777,SAVINGS,FULL_KYC,1391,MOBILE,iOS,1.1.2,LOW,Karnataka,Mumbai,PERSON,ICICI Bank,HEALTH,LOW,UPI,PIN,0,0,472.96,False,0.1774,False,False,False,LOW
84384a279c11867c4f4a974b6f7f2b93,TRANSFER,SUCCESS,2024-07-30T10:13:54Z,45678.0,INR,CUST201640,ACC97157833,SAVINGS,FULL_KYC,1345,MOBILE,Android,2.0.1,LOW,Uttar Pradesh,Kanpur,MERCHANT,ICICI Bank,FOOD,LOW,UPI,PIN,1,5,67890.0,False,0.17,False,False,False,LOW
e4444565659846b450e137f884149021,PAYMENT,SUCCESS,2024-07-30T10:52:16Z,12345.0,INR,CUST567890,ACC12345678,SAVINGS,FULL_KYC,1234,MOBILE,Android,2.1.5,LOW,Maharashtra,Mumbai,MERCHANT,HDFC Bank,ELECTRONICS,LOW,CARD,OTP,0,3,25000.0,False,0.05,False,False,False,LOW
761c775a1d7c3857d47781b4d24a9a2a,PAYMENT,SUCCESS,2024-07-30T10:04:31Z,89012.0,INR,CUST890123,ACC98765432,CURRENT,FULL_KYC,2345,WEB,Windows,1.0.0,MEDIUM,Karnataka,Bengaluru,PERSON,Axis Bank,TRAVEL,MEDIUM,NETBANKING,OTP,6,15,350000.0,True,0.85,True,False,True,MEDIUM
1d8b63e52d3a43f8e7b9c1d0f2a4e6b8,PAYMENT,SUCCESS,2024-07-30T10:04:22Z,32100.0,INR,CUST112233,ACC44556677,SAVINGS,MIN_KYC,543,MOBILE,iOS,3.0.0,LOW,Telangana,Hyderabad,MERCHANT,Kotak Mahindra Bank,FOOD,LOW,UPI,PIN,2,6,55000.0,False,0.28,False,False,False,LOW
18f6f60a775a6c3f3f5a5c60b2b5d4e1,TRANSFER,SUCCESS,2024-07-30T09:43:10Z,56789.0,INR,CUST778899,ACC11223344,CURRENT,FULL_KYC,1890,WEB,Windows,2.0.1,HIGH,Delhi,New Delhi,PERSON,PNB,HEALTH,HIGH,NETBANKING,OTP,7,20,480000.0,True,0.92,False,True,True,HIGH
673f324d4e2b1c8a1b9f6d0f7e8a9c0d,TRANSFER,SUCCESS,2024-07-30T09:12:34Z,78901.0,INR,CUST901234,ACC00112233,SAVINGS,MIN_KYC,678,MOBILE,Android,1.1.2,MEDIUM,Tamil Nadu,Chennai,MERCHANT,SBI,TRAVEL,MEDIUM,CARD,OTP,8,18,600000.0,True,0.88,True,False,False,MEDIUM
f5e9d8c7b6a504030201f0e9d8c7b6a5,PAYMENT,SUCCESS,2024-07-30T09:48:01Z,90123.0,INR,CUST112233,ACC44556677,SAVINGS,MIN_KYC,543,MOBILE,iOS,3.0.0,MEDIUM,Telangana,Hyderabad,PERSON,Kotak Mahindra Bank,ELECTRONICS,HIGH,UPI,PIN,5,10,700000.0,True,0.79,False,True,False,MEDIUM
a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4,PAYMENT,SUCCESS,2024-07-30T09:55:00Z,2500.0,INR,CUST777777,ACC88888888,SAVINGS,FULL_KYC,700,MOBILE,Android,2.1.5,LOW,Karnataka,Bengaluru,MERCHANT,HDFC Bank,FOOD,LOW,UPI,PIN,1,3,15000.0,False,0.12,False,False,False,LOW
b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2,TRANSFER,SUCCESS,2024-07-30T10:00:15Z,15000.0,INR,CUST123456,ACC98765432,CURRENT,FULL_KYC,1800,WEB,Windows,1.0.0,LOW,Maharashtra,Pune,PERSON,Axis Bank,HEALTH,LOW,NETBANKING,OTP,0,1,30000.0,False,0.08,False,False,False,LOW
cdef1234abcd5678efgh9012ijkl3456,PAYMENT,SUCCESS,2024-07-30T10:20:00Z,500.0,INR,CUST987654,ACC12345678,SAVINGS,MIN_KYC,200,MOBILE,Android,1.1.2,LOW,Uttar Pradesh,Lucknow,MERCHANT,SBI,FOOD,LOW,UPI,PIN,1,4,2000.0,False,0.03,False,False,False,LOW
